UserID,Name,Role,Gender,Age,Password
D001,John Smith,DOCTOR,MALE,45,hU1ZDp4zr15PfNydB6j+Qpg5s5sECx4ZYOxj1Gx2PcI=
D002,Emily Clarke,DOCTOR,FEMALE,38,hU1ZDp4zr15PfNydB6j+Qpg5s5sECx4ZYOxj1Gx2PcI=
D003,Timmy Tan,DOCTOR,MALE,34,hU1ZDp4zr15PfNydB6j+Qpg5s5sECx4ZYOxj1Gx2PcI=
D004,Michelle Tan,DOCTOR,FEMALE,42,cY1typHCqaTUJUHjzbG2yJ947U7eRQTnBOuaH9XXpuU=
A005,Yap Lim,ADMINISTRATOR,MALE,32,I80YpKkCQIdL6Z6Yt4goPnBmVF3Jzs2Cq7mIGStdZPs=
A001,Sarah Lee,ADMINISTRATOR,FEMALE,40,hU1ZDp4zr15PfNydB6j+Qpg5s5sECx4ZYOxj1Gx2PcI=
A002,Jeon,ADMINISTRATOR,MALE,27,qR4dmZeg7ThdAam0JV8/2miYy5CMhTQM7kk5BO3uB/M=
A003,Jennie,ADMINISTRATOR,FEMALE,26,hU1ZDp4zr15PfNydB6j+Qpg5s5sECx4ZYOxj1Gx2PcI=
PH002,Mary,PHARMACIST,FEMALE,43,hU1ZDp4zr15PfNydB6j+Qpg5s5sECx4ZYOxj1Gx2PcI=
PH003,Matthew,PHARMACIST,MALE,43,hU1ZDp4zr15PfNydB6j+Qpg5s5sECx4ZYOxj1Gx2PcI=
D006,Darren,DOCTOR,MALE,23,ZzTwSqtp9UK00TReZsTPItf5XmaNxzbA5PlqnFvkUxc=
PH004,Matthias,PHARMACIST,MALE,42,qR4dmZeg7ThdAam0JV8/2miYy5CMhTQM7kk5BO3uB/M=
A004,Sree,ADMINISTRATOR,MALE,20,+Yo8rttHMwEoDpczDqjgWKeuzFLzsFW29WekGA3StIY=
D007,Nithilan,DOCTOR,MALE,33,eF8+x+sy8wuQzQ/PNlfTiLX/Qpfy+XFv9m6bacBd3Qk=
PH005,Nit,PHARMACIST,MALE,22,sXENE8LjTNWN9e5HiUGaOaVv69QDGpRTltt5nimbDqY=
